Announcement Date,年度/截至,派息事項,派息內容,方式,Div Date,截止過戶日期,Div Issue Date
2022-03-30,21-Dec,末期業績,股息：港元 0.7200,現金/實物,2022-06-10,2022-06-13,2022-07-22
2021-08-30,21-Dec,中期業績,股息：港元 0.2200,現金/實物,2021-09-24,2021/09/28-2021/10/04,2021-11-18
2021-03-30,20-Dec,末期業績,股息：港元 0.5100,現金/實物,2021-06-08,2021-06-09,2021-07-16
2020-08-28,20-Dec,中期業績,股息：港元 0.1800,現金/實物,2020-09-23,2020/09/25-2020/09/30,2020-11-16
2020-03-30,19-Dec,末期業績,股息：港元 0.5800,現金/實物,2020-06-18,2020-06-19,2020-07-30
2019-08-30,19-Dec,中期業績,股息：港元 0.2200,現金/實物,2019-09-23,2019/09/25-2019/10/03,2019-11-15
2019-03-29,18-Dec,末期業績,股息：港元 0.7300,現金/實物,2019-06-10,2019-06-11,2019-07-18
2018-08-31,18-Dec,中期業績,股息：港元 0.2200,現金/實物,2018-09-21,2018/09/24-2018/10/02,2018-11-15
2018-03-29,17-Dec,末期業績,股息：港元 0.5900,現金/實物,2018-06-07,2018-06-08,2018-07-17
2017-08-31,17-Dec,中期業績,股息：港元 0.2200,現金/實物,2017-09-21,2017/09/25-2017/10/03,2017-11-16
2017-08-31,17-Dec,中期業績,特別股息：港元 1.3500,現金/實物,2017-09-21,2017/09/25-2017/10/03,2017-11-16
2017-03-29,16-Dec,末期業績,股息：港元 0.6500,現金/實物,2017-06-08,2017-06-09,2017-07-18
2016-08-31,16-Dec,中期業績,股息：港元 0.2200,現金/實物,2016-09-22,2016/09/24-2016/10/03,2016-11-16
2016-03-31,15-Dec,末期業績,股息：港元 0.5500,現金/實物,2016-06-08,2016-06-10,2016-07-18
2015-08-31,15-Dec,中期業績,股息：港元 0.2200,現金/實物,2015-09-23,2015/09/25-2015/10/05,2015-11-18
2015-05-20,-,特別報告,每單位強制可換股證券第二次分派：港元 1.2104,現金,-,-,2015-06-15
2015-03-31,14-Dec,末期業績,股息：港元 0.5500,現金/實物,2015-06-03,2015-06-04,2015-07-10
2014-11-14,-,特別報告,每單位強制可換股證券首次分派：港元 1.2104,現金,-,-,2014-12-15
2014-08-28,14-Dec,中期業績,股息：港元 0.2200,現金/實物,2014-09-24,2014/09/26-2014/10/06,2014-11-27
2014-03-31,13-Dec,末期業績,股息：港元 0.5500,現金/實物,2014-05-28,2014-05-29,2014-07-04
2014-03-31,-,特別報告,公開發售：5股供1單位非上市強制可換股證券@港元 30.2600,-,2014-05-14,2014/05/16-2014/05/23,2014-06-05
2013-08-29,13-Dec,中期業績,股息：港元 0.2200,現金/實物,2013-09-25,2013/09/27-2013/10/07,2013-11-28
2013-03-27,12-Dec,末期業績,股息：港元 0.4800,現金/實物,2013-06-21,2013-06-24,2013-07-30
2012-08-30,12-Dec,中期業績,股息：港元 0.2200,現金/實物,2012-09-25,2012/09/27-2012/10/05,2012-11-28
2012-03-29,11-Dec,末期業績,股息：港元 0.6800,現金/實物,2012-06-05,-,2012-07-20
2011-08-30,11-Dec,中期業績,股息：港元 0.3000,現金/實物,2011-09-29,2011/10/03-2011/10/07,2011-11-30
2011-03-30,10-Dec,末期業績,股息：港元 0.7800,現金/實物,2011-06-01,2011/06/03-2011/06/09,2011-07-25
2010-08-30,10-Dec,中期業績,股息：港元 0.2500,現金/實物,2010-09-29,2010/10/04-2010/10/08,2010-11-26
2010-03-31,09-Dec,末期業績,股息：港元 0.3200,現金/實物,2010-05-17,2010/05/19-2010/05/25,2010-07-16
2009-09-10,09-Dec,中期業績,股息：港元 0.2500,現金/實物,2009-09-30,2009/10/05-2009/10/09,2009-11-27
2009-01-20,08-Dec,末期業績,股息：港元 0.4000,現金/實物,2009-05-25,2009/05/27-2009/06/02,2009-07-17
2008-09-02,08-Dec,中期業績,股息：港元 0.2800,現金/實物,2008-10-02,2008/10/06-2008/10/10,2008-11-26
2008-04-15,07-Dec,末期業績,股息: 港元 0.4500,現金/實物,2008-05-15,2008/05/19-2008/05/23,2008-07-04
2007-09-19,07-Dec,中期業績,股息: 港元 0.0200,現金/實物,2007-10-04,2007/10/08-2007/10/12,2007-11-28
2007-04-12,06-Dec,末期業績,股息: 港元 0.3600,現金/實物,2007-05-17,2007/05/21-2007/05/25,2007-07-04
2006-09-19,06-Dec,中期業績,股息: 港元 0.1700,現金/實物,2006-10-05,2006/10/09-2006/10/13,2006-11-29
2006-04-03,05-Dec,末期業績,股息: 港元 0.3300,現金/實物,2006-05-18,2006/05/22-2006/05/26,2006-07-05
2005-09-21,05-Dec,中期業績,股息: 港元 0.1700,現金/實物,2005-10-06,2005/10/10-2005/10/14,2005-11-21
2005-03-22,04-Dec,末期業績,股息: 港元 0.3000,現金/實物,2005-04-29,2005/05/04-2005/05/10,2005-06-28
2004-09-06,04-Dec,中期業績,股息: 港元 0.1500,現金,2004-09-28,2004/10/04-2004/10/08,2004-10-14
2004-03-29,03-Dec,末期業績,股息: 港元 0.2900,現金,2004-05-31,2004/06/02-2004/06/08,2004-07-16
2003-08-28,03-Dec,中期業績,股息: 港元 0.1300,現金,2003-10-02,2003/10/06-2003/10/10,2003-10-14
2003-04-11,02-Dec,末期業績,股息：港元 0.1000,現金,2003-05-29,2003/06/02-2003/06/06,2003-07-18
2003-04-10,02-Dec,末期業績,特別股息: 港元 0.0500,現金,2003-05-29,2003/06/02-2003/06/06,2003-07-18
2002-09-05,02-Dec,中期業績,股息: 港元 0.0700,現金,2002-10-03,2002/10/07-2002/10/11,2002-10-16
2002-04-22,01-Dec,末期業績,股息: 港元 0.0900,現金,2002-05-28,2002/05/30-2002/06/05,2002-07-19
2001-09-18,01-Dec,中期業績,股息: 港元 0.0700,現金,2001-10-12,2001/10/15-2001/10/19,2001-10-23
2001-04-19,Dec-00,末期業績,股息: 港元 0.0800,現金,2001-06-08,2001/06/12-2001/06/18,2001-07-19
2000-08-10,Dec-00,中期業績,股息: 港元 0.0500,現金,2000-10-05,2000/10/09-2000/10/12,2000-10-20
2010-05-04,10-Dec,中期業績,股息：美元 0.0800,現金/實物,2010-05-19,2010/05/21-2010/05/21,2010-07-07
2010-03-01,09-Dec,末期業績,股息：美元 0.1000,現金/實物,2010-03-17,2010/03/19-2010/03/19,2010-05-05
2009-11-02,09-Dec,第三次中期業績,股息：美元 0.0800,現金/實物,2009-11-18,2009/11/20-2009/11/20,2010-01-13
2009-08-03,09-Dec,第二次中期業績,股息：美元 0.0800,現金/實物,2009-08-19,2009/08/21-2009/08/21,2009-10-07
2009-05-05,09-Dec,中期業績,股息：美元 0.0800,現金/實物,2009-05-20,2009/05/22-2009/05/22,2009-07-08
2009-03-02,08-Dec,末期業績,股息：美元 0.1000,現金/實物,2009-03-18,2009/03/20-2009/03/20,2009-05-06
2009-03-02,08-Dec,特別報告,供股：12股供5股@港元 28.0000,-,2009-03-12,2009/03/14-2009/03/14,2009-04-03
2008-11-03,08-Dec,第三次中期業績,股息：美元 0.1800,現金/實物,2008-11-19,2008/11/21-2008/11/21,2009-01-14
2008-08-04,08-Dec,第二次中期業績,股息：美元 0.1800,現金/實物,2008-08-20,2008/08/22-2008/08/22,2008-10-08
2008-05-06,08-Dec,中期業績,股息：美元 0.1800,現金/實物,2008-05-21,2008/05/23-2008/05/23,2008-07-09
2008-03-03,07-Dec,末期業績,股息：美元 0.3900,現金/實物,2008-03-19,2008/03/25-2008/03/25,2008-05-07
2007-11-05,07-Dec,第三次中期業績,股息：美元 0.1700,現金/實物,2007-11-21,2007/11/23-2007/11/23,2008-01-16
2007-07-30,07-Dec,第二次中期業績,股息：美元 0.1700,現金/實物,2007-08-15,2007/08/17-2007/08/17,2007-10-04
2007-04-30,07-Dec,中期業績,股息: 美元 0.1700,現金/實物,2007-05-16,2007/05/18-2007/05/18,2007-07-05
2007-03-05,06-Dec,末期業績,股息: 美元 0.3600,現金/實物,2007-03-21,2007/03/23-2007/03/23,2007-05-10
2006-11-06,06-Dec,第三次中期業績,股息：美元 0.1500,現金/實物,2006-11-22,2006/11/24-2006/11/24,2007-01-18
2006-07-31,06-Dec,第二次中期業績,股息：美元 0.1500,現金/實物,2006-08-16,2006/08/18-2006/08/18,2006-10-04
2006-05-02,06-Dec,中期業績,股息：美元 0.1500,現金/實物,2006-05-17,2006/05/19-2006/05/19,2006-07-06
2006-03-06,05-Dec,末期業績,股息: 美元 0.3100,現金/實物,2006-03-22,2006/03/24-2006/03/24,2006-05-11
2005-11-07,05-Dec,第三次中期業績,股息: 美元 0.1400,現金/實物,2005-11-23,2005/11/25-2005/11/25,2006-01-19
2005-08-01,05-Dec,第二次中期業績,股息: 美元 0.1400,現金/實物,2005-08-17,2005/08/19-2005/08/19,2005-10-05
2005-05-03,05-Dec,中期業績,股息: 美元 0.1400,現金/實物,2005-05-18,2005/05/20-2005/05/20,2005-07-06
2005-02-28,04-Dec,末期業績,股息: 美元 0.2700,現金/實物,2005-03-16,2005/03/18-2005/03/18,2005-05-04
2004-11-08,04-Dec,第三次中期業績,股息: 美元 0.1300,現金/實物,2004-11-24,2004/11/26-2004/11/26,2005-01-20
2004-08-02,04-Dec,第二次中期業績,股息: 美元 0.1300,現金/實物,2004-08-18,2004/08/20-2004/08/20,2004-10-06
2004-05-04,04-Dec,中期業績,股息: 美元 0.1300,現金/實物,2004-05-19,2004/05/21-2004/05/21,2004-07-07
2004-03-01,03-Dec,末期業績,股息: 美元 0.2400,現金/實物,2004-03-17,2004/03/19-2004/03/19,2004-05-05
2003-11-10,03-Dec,第二次中期業績,股息: 美元 0.1200,現金/實物,2003-11-26,2003/11/28-2003/11/28,2004-01-20
2003-08-04,03-Dec,中期業績,股息: 美元 0.2400,現金/實物,2003-08-20,2003/08/22-2003/08/22,2003-10-07
2003-03-03,02-Dec,末期業績,股息: 美元 0.3250,現金/實物,2003-03-19,2003/03/21-2003/03/21,2003-05-06
2002-08-05,02-Dec,中期業績,股息: 美元 0.2050,現金/實物,2002-08-21,2002/08/23-2002/08/23,2002-10-09
2002-03-04,01-Dec,末期業績,股息: 美元 0.2900,現金/實物,2002-03-20,2002/03/22-2002/03/22,2002-05-07
2001-08-06,01-Dec,中期業績,股息：美元 0.1900,現金/實物,2001-08-22,2001/08/24-2001/08/24,2001-10-09
2001-02-26,Dec-00,末期業績,股息：美元 0.2850,現金/實物,2001-03-14,2001/03/16-2001/03/16,2001-05-02
2000-07-31,Dec-00,中期業績,股息：美元 0.1500,現金/實物,2000-08-14,2000/08/16-2000/08/18,2000-10-05
